"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.61","263799548.11","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","41.02","173005787.92","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","7","1295768334","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","5.15","203148558.3","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","25","1496575000","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","19.95","1488210868.2","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALDW","Alon USA Partners, LP","11.12","695224846.4","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AETI","American Electric Technologies, Inc.","1.9","16128659.2","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","40.23","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","44.06","24688542508.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"AR","Antero Resources Corporation","21.16","6674872718.36","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","48.41","18416974291.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","3","258852678","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"ARCX","Arc Logistic Partners LP","15.41","300736597.98","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/arcx",
"ARCH","Arch Coal, Inc.","75.52","1889591886.08","n/a","2016","Energy","Coal Mining","http://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.35","270910133.8","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"ATW","Atwood Oceanics, Inc.","7.92","637713822.24","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/atw",
"BHGE","Baker Hughes, a GE company","34.12","14517488285.28","n/a","2017","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","3.01","527258855.55","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.85","15312746","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","27.45","713714081.85","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","2.45","573800020.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","2.44","121076372.16","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BBL","BHP Billiton plc","33.89","35775694772.92","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BBG","Bill Barrett Corporation","3.54","270087514.32","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"BSM","Black Stone Minerals, L.P.","16.08","3149788847.28","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bsm",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","5.95","227024832.3","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","7.67","231316607.73","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
"BCEI","Bonanza Creek Energy, Inc.","26.53","539787206.35","n/a","2017","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"BP","BP p.l.c.","34.68","113660971828.44","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","20.15","431210000","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"BGG","Briggs & Stratton Corporation","23.94","1024099550.46","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"BC","Brunswick Corporation","60.2","5376260751.4","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"BPL","Buckeye Partners L.P.","63.27","8891183529.72","n/a","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"BWXT","BWX Technologies, Inc.","51.59","5109818479.15","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"CJ","C","31.3","1980437419.3","n/a","2017","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cj",
"COG","Cabot Oil & Gas Corporation","24.98","11628774157.3","n/a","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CRC","California Resources Corporation","7.61","324132600.63","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crc",
"CPE","Callon Petroleum Company","10.88","2187547662.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","52.2212","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe^a",
"CLMT","Calumet Specialty Products Partners, L.P.","5.15","394963099.6","n/a","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"CEI","Camber Energy, Inc.","0.2905","9934170.1095","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cei",
"CNQ","Canadian Natural Resources Limited","29.7","36084181468.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cnq",
"CPST","Capstone Turbine Corporation","0.6939","28814837.9697","n/a","2000","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CRZO","Carrizo Oil & Gas, Inc.","15.37","1011896553.4","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CVE","Cenovus Energy Inc","7.45","9153789900.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CDEV","Centennial Resource Development, Inc.","15.77","3947090394.68","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdev",
"CGG","CGG","4.53","100263164.97","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CHK","Chesapeake Energy Corporation","4.69","4258835285.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","2.4","112200000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","103.25","195613487161.75","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"SNP","China Petroleum & Chemical Corporation","76.81","92994796093.76","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","20.99","854546979","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","95.02","9037220977.38","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xec",
"CKX","CKX Lands, Inc.","11.8304","22980492.848","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"CLD","Cloud Peak Energy Inc","3.52","264195659.2","n/a","2009","Energy","Coal Mining","http://www.nasdaq.com/symbol/cld",
"CEO","CNOOC Limited","110.87","1098235535.05","n/a","2001","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
"CNXC","CNX Coal Resources LP","16.15","376774687.3","n/a","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnxc",
"CIE","Cobalt International Energy, Inc.","2.48","74120548.64","n/a","2009","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cie",
"CRK","Comstock Resources, Inc.","6.76","103917424","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crk",
"CXO","Concho Resources Inc.","127.2","18878992200","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxo",
"COP","ConocoPhillips","42.65","52762483595.45","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cop",
"CNX","CONSOL Energy Inc.","15.93","3664683325.89","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnx",
"MCF","Contango Oil & Gas Company","5.99","153177747.55","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CLR","Continental Resources, Inc.","31.41","11784748273.47","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/clr",
"CLB","Core Laboratories N.V.","105.69","4669682879.94","n/a","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","7.35","4005469325.55","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","15.24","91440000","n/a","1992","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","29.28","987515433.6","n/a","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/capl",
"CCLP","CSI Compressco LP","5.48","189032446.56","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"CMI","Cummins Inc.","165.22","27752862048.34","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","22.18","1925912689","n/a","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi",
"CVRR","CVR Refining, LP","9.15","1350540000","n/a","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr",
"CELP","Cypress Energy Partners, L.P.","7.3","86714327.5","n/a","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp",
"DWSN","Dawson Geophysical Company","4.02","87166186.62","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DKL","Delek Logistics Partners, L.P.","35","851501245","n/a","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","26.7","1656267109.2","n/a","2017","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","1.36","541738864","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","31.96","16801372000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","11.55","1584939001.8","n/a","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"FANG","Diamondback Energy, Inc.","91.99","9026798675.57","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","14.95","458597693.45","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DRQ","Dril-Quip, Inc.","49.15","1859560366.8","n/a","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","9.07","533139343.61","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","2.35","41371750","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ect",
"ECR","Eclipse Resources Corporation","2.56","672218240","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ecr",
"EC","Ecopetrol S.A.","9.08","18666979384.72","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ec",
"ESES","Eco-Stim Energy Solutions, Inc.","1.66","90940404.16","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EMR","Emerson Electric Company","60.04","38694587125.28","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/emr",
"EEQ","Enbridge Energy Management LLC","15.44","1296710041.84","n/a","2002","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eeq",
