"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","4.05","204880274.1","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","128.85","82306954914.15","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","52.13","9011889299.4","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","151.89","384185126667.21","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","3.23","116413424.84","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","236.54","13169588976.46","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.85","101746206.1","n/a","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","155.93","6211336202.76","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","21.1","1338302441.6","n/a","2016","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atkr",
"AUXO","Auxilio, Inc.","4.94","46380508.98","n/a","2017","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/auxo",
"RILY","B. Riley Financial, Inc.","19.85","520833133.25","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"RILYL","B. Riley Financial, Inc.","25.58","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.52","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","6.7211","95793116.2545","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BFAM","Bright Horizons Family Solutions Inc.","79.55","4759446827.85","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","75.26","8848925322.42","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","5.5","69129736.5","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","17.43","4689416614.05","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
