Symbol,Name,Sector,Industry
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing"
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,Technology,EDP Services
ATU,Actuant Corporation,Technology,Industrial Machinery/Components
ACXM,Acxiom Corporation,Technology,EDP Services
IOTS,Adesto Technologies Corporation,Technology,Semiconductors
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services
WGA,"AG&E Holdings, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AGYS,"Agilysys, Inc.",Technology,EDP Services
AL,Air Lease Corporation,Technology,Diversified Commercial Services
AYR,Aircastle Limited,Technology,Diversified Commercial Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,Technology,Advertising
AIXG,Aixtron SE,Technology,Industrial Machinery/Components
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
AYA,Amaya Inc.,Technology,"Computer Software: Programming, Data Processing"
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited,Technology,EDP Services
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMN,AMN Healthcare Services Inc,Technology,Professional Services
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,Technology,Computer Manufacturing
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
APTI,"Apptio, Inc.",Technology,Computer Software: Prepackaged Software
ARIS,"ARI Network Services, Inc.",Technology,"Computer Software: Programming, Data Processing"
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
ASUR,Asure Software Inc,Technology,EDP Services
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software
ATOM,Atomera Incorporated,Technology,Semiconductors
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software
AUO,AU Optronics Corp,Technology,Semiconductors
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ATHM,Autohome Inc.,Technology,EDP Services
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXTI,AXT Inc,Technology,Semiconductors
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
RATE,"Bankrate, Inc.",Technology,EDP Services
CUDA,"Barracuda Networks, Inc.",Technology,Computer peripheral equipment
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services
BV,"Bazaarvoice, Inc.",Technology,Computer Software: Prepackaged Software
BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products
