Symbol,Name,IPOyear,Sector,Industry
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation,2016,Capital Goods,Metal Fabrications
AAAP,Advanced Accelerator Applications S.A.,2015,Health Care,Major Pharmaceuticals
AABA,Altaba Inc.,n/a,Technology,EDP Services
AAC,"AAC Holdings, Inc.",2014,Health Care,Medical Specialities
AAL,"American Airlines Group, Inc.",n/a,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp,n/a,Finance,Real Estate
AAME,Atlantic American Corporation,n/a,Finance,Life Insurance
AAN,"Aaron&#39;s,  Inc.",n/a,Technology,Diversified Commercial Services
AAOI,"Applied Optoelectronics, Inc.",2013,Technology,Semiconductors
AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc,n/a,Consumer Services,Other Specialty Stores
AAPC,Atlantic Alliance Partnership Corp.,2015,Consumer Services,Services-Misc. Amusement & Recreation
AAPL,Apple Inc.,1980,Technology,Computer Manufacturing
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals
AAV,Advantage Oil & Gas Ltd,n/a,Energy,Oil & Gas Production
AAWW,Atlas Air Worldwide Holdings,n/a,Transportation,Transportation Services
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,n/a,n/a,n/a
AAXN,"Axon Enterprise, Inc.",n/a,Capital Goods,Ordnance And Accessories
AB,AllianceBernstein Holding L.P.,n/a,Finance,Investment Managers
ABAC,"Aoxin Tianli Group, Inc.",n/a,Consumer Non-Durables,Farming/Seeds/Milling
ABAX,"ABAXIS, Inc.",1992,Capital Goods,Industrial Machinery/Components
ABB,ABB Ltd,n/a,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation (Holding Co),n/a,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,1994,Finance,Major Banks
ABCD,"Cambium Learning Group, Inc.",n/a,Consumer Services,Publishing
ABCO,The Advisory Board Company,2001,Consumer Services,Other Consumer Services
ABDC,Alcentra Capital Corp.,n/a,n/a,n/a
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,n/a,n/a,n/a
ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,2002,Consumer Durables,Automotive Aftermarket
ABIL,Ability Inc.,2014,Finance,Business Services
ABIO,"ARCA biopharma, Inc.",n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated,n/a,Finance,Diversified Commercial Services
ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments
ABR,Arbor Realty Trust,2004,Consumer Services,Real Estate Investment Trusts
ABRN,Arbor Realty Trust,2014,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,n/a,n/a,n/a
ABR^B,Arbor Realty Trust,n/a,n/a,n/a
ABR^C,Arbor Realty Trust,n/a,n/a,n/a
